SP     0020    SPACE
s+     0633    ARABIC LETTER SEEN
sn     0634    ARABIC LETTER SHEEN
c+     0635    ARABIC LETTER SAD
dd     0636    ARABIC LETTER DAD
tj     0637    ARABIC LETTER TAH
zH     0638    ARABIC LETTER ZAH
e+     0639    ARABIC LETTER AIN
i+     063a    ARABIC LETTER GHAIN
++     0640    ARABIC TATWEEL
f+     0641    ARABIC LETTER FEH
q+     0642    ARABIC LETTER QAF
k+     0643    ARABIC LETTER KAF
l+     0644    ARABIC LETTER LAM
m+     0645    ARABIC LETTER MEEM
n+     0646    ARABIC LETTER NOON
h+     0647    ARABIC LETTER HEH
w+     0648    ARABIC LETTER WAW
j+     0649    ARABIC LETTER ALEF MAKSURA
y+     064a    ARABIC LETTER YEH
:+     064b    ARABIC FATHATAN
"+     064c    ARABIC DAMMATAN
=+     064d    ARABIC KASRATAN
/+     064e    ARABIC FATHA
'+     064f    ARABIC DAMMA
1+     0650    ARABIC KASRA
3+     0651    ARABIC SHADDA
0+     0652    ARABIC SUKUN
aS     0670    SUPERSCRIPT ARABIC LETTER ALEF
p+     067e    ARABIC LETTER PEH
v+     06a4    ARABIC LETTER VEH
gf     06af    ARABIC LETTER GAF
0a     06f0    EASTERN ARABIC-INDIC DIGIT ZERO
1a     06f1    EASTERN ARABIC-INDIC DIGIT ONE
2a     06f2    EASTERN ARABIC-INDIC DIGIT TWO
3a     06f3    EASTERN ARABIC-INDIC DIGIT THREE
4a     06f4    EASTERN ARABIC-INDIC DIGIT FOUR
5a     06f5    EASTERN ARABIC-INDIC DIGIT FIVE
6a     06f6    EASTERN ARABIC-INDIC DIGIT SIX
7a     06f7    EASTERN ARABIC-INDIC DIGIT SEVEN
8a     06f8    EASTERN ARABIC-INDIC DIGIT EIGHT
9a     06f9    EASTERN ARABIC-INDIC DIGIT NINE
B.     1e02    LATIN CAPITAL LETTER B WITH DOT ABOVE
b.     1e03    LATIN SMALL LETTER B WITH DOT ABOVE
B_     1e06    LATIN CAPITAL LETTER B WITH LINE BELOW
b_     1e07    LATIN SMALL LETTER B WITH LINE BELOW
D.     1e0a    LATIN CAPITAL LETTER D WITH DOT ABOVE
d.     1e0b    LATIN SMALL LETTER D WITH DOT ABOVE
D_     1e0e    LATIN CAPITAL LETTER D WITH LINE BELOW
d_     1e0f    LATIN SMALL LETTER D WITH LINE BELOW
D,     1e10    LATIN CAPITAL LETTER D WITH CEDILLA
d,     1e11    LATIN SMALL LETTER D WITH CEDILLA
F.     1e1e    LATIN CAPITAL LETTER F WITH DOT ABOVE
f.     1e1f    LATIN SMALL LETTER F WITH DOT ABOVE
G-     1e20    LATIN CAPITAL LETTER G WITH MACRON
g-     1e21    LATIN SMALL LETTER G WITH MACRON
H.     1e22    LATIN CAPITAL LETTER H WITH DOT ABOVE
h.     1e23    LATIN SMALL LETTER H WITH DOT ABOVE
H:     1e26    LATIN CAPITAL LETTER H WITH DIAERESIS
h:     1e27    LATIN SMALL LETTER H WITH DIAERESIS
H,     1e28    LATIN CAPITAL LETTER H WITH CEDILLA
h,     1e29    LATIN SMALL LETTER H WITH CEDILLA
K'     1e30    LATIN CAPITAL LETTER K WITH ACUTE
k'     1e31    LATIN SMALL LETTER K WITH ACUTE
K_     1e34    LATIN CAPITAL LETTER K WITH LINE BELOW
k_     1e35    LATIN SMALL LETTER K WITH LINE BELOW
L_     1e3a    LATIN CAPITAL LETTER L WITH LINE BELOW
l_     1e3b    LATIN SMALL LETTER L WITH LINE BELOW
M'     1e3e    LATIN CAPITAL LETTER M WITH ACUTE
m'     1e3f    LATIN SMALL LETTER M WITH ACUTE
M.     1e40    LATIN CAPITAL LETTER M WITH DOT ABOVE
m.     1e41    LATIN SMALL LETTER M WITH DOT ABOVE
N.     1e44    LATIN CAPITAL LETTER N WITH DOT ABOVE
n.     1e45    LATIN SMALL LETTER N WITH DOT ABOVE
N_     1e48    LATIN CAPITAL LETTER N WITH LINE BELOW
n_     1e49    LATIN SMALL LETTER N WITH LINE BELOW
P'     1e54    LATIN CAPITAL LETTER P WITH ACUTE
p'     1e55    LATIN SMALL LETTER P WITH ACUTE
P.     1e56    LATIN CAPITAL LETTER P WITH DOT ABOVE
p.     1e57    LATIN SMALL LETTER P WITH DOT ABOVE
R.     1e58    LATIN CAPITAL LETTER R WITH DOT ABOVE
r.     1e59    LATIN SMALL LETTER R WITH DOT ABOVE
R_     1e5e    LATIN CAPITAL LETTER R WITH LINE BELOW
r_     1e5f    LATIN SMALL LETTER R WITH LINE BELOW
S.     1e60    LATIN CAPITAL LETTER S WITH DOT ABOVE
s.     1e61    LATIN SMALL LETTER S WITH DOT ABOVE
T.     1e6a    LATIN CAPITAL LETTER T WITH DOT ABOVE
t.     1e6b    LATIN SMALL LETTER T WITH DOT ABOVE
T_     1e6e    LATIN CAPITAL LETTER T WITH LINE BELOW
t_     1e6f    LATIN SMALL LETTER T WITH LINE BELOW
V?     1e7c    LATIN CAPITAL LETTER V WITH TILDE
v?     1e7d    LATIN SMALL LETTER V WITH TILDE
W!     1e80    LATIN CAPITAL LETTER W WITH GRAVE
w!     1e81    LATIN SMALL LETTER W WITH GRAVE
W'     1e82    LATIN CAPITAL LETTER W WITH ACUTE
w'     1e83    LATIN SMALL LETTER W WITH ACUTE
W:     1e84    LATIN CAPITAL LETTER W WITH DIAERESIS
w:     1e85    LATIN SMALL LETTER W WITH DIAERESIS
W.     1e86    LATIN CAPITAL LETTER W WITH DOT ABOVE
w.     1e87    LATIN SMALL LETTER W WITH DOT ABOVE
X.     1e8a    LATIN CAPITAL LETTER X WITH DOT ABOVE
x.     1e8b    LATIN SMALL LETTER X WITH DOT ABOVE
X:     1e8c    LATIN CAPITAL LETTER X WITH DIAERESIS
x:     1e8d    LATIN SMALL LETTER X WITH DIAERESIS
Y.     1e8e    LATIN CAPITAL LETTER Y WITH DOT ABOVE
y.     1e8f    LATIN SMALL LETTER Y WITH DOT ABOVE
Z>     1e90    LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
z>     1e91    LATIN SMALL LETTER Z WITH CIRCUMFLEX
Z_     1e94    LATIN CAPITAL LETTER Z WITH LINE BELOW
z_     1e95    LATIN SMALL LETTER Z WITH LINE BELOW
h_     1e96    LATIN SMALL LETTER H WITH LINE BELOW
t:     1e97    LATIN SMALL LETTER T WITH DIAERESIS
w0     1e98    LATIN SMALL LETTER W WITH RING ABOVE
y0     1e99    LATIN SMALL LETTER Y WITH RING ABOVE
A2     1ea2    LATIN CAPITAL LETTER A WITH HOOK ABOVE
a2     1ea3    LATIN SMALL LETTER A WITH HOOK ABOVE
E2     1eba    LATIN CAPITAL LETTER E WITH HOOK ABOVE
e2     1ebb    LATIN SMALL LETTER E WITH HOOK ABOVE
E?     1ebc    LATIN CAPITAL LETTER E WITH TILDE
e?     1ebd    LATIN SMALL LETTER E WITH TILDE
I2     1ec8    LATIN CAPITAL LETTER I WITH HOOK ABOVE
i2     1ec9    LATIN SMALL LETTER I WITH HOOK ABOVE
O2     1ece    LATIN CAPITAL LETTER O WITH HOOK ABOVE
o2     1ecf    LATIN SMALL LETTER O WITH HOOK ABOVE
U2     1ee6    LATIN CAPITAL LETTER U WITH HOOK ABOVE
u2     1ee7    LATIN SMALL LETTER U WITH HOOK ABOVE
Y!     1ef2    LATIN CAPITAL LETTER Y WITH GRAVE
y!     1ef3    LATIN SMALL LETTER Y WITH GRAVE
Y2     1ef6    LATIN CAPITAL LETTER Y WITH HOOK ABOVE
y2     1ef7    LATIN SMALL LETTER Y WITH HOOK ABOVE
Y?     1ef8    LATIN CAPITAL LETTER Y WITH TILDE
y?     1ef9    LATIN SMALL LETTER Y WITH TILDE
;'     1f00    GREEK DASIA AND ACUTE ACCENT
,'     1f01    GREEK PSILI AND ACUTE ACCENT
;!     1f02    GREEK DASIA AND VARIA
,!     1f03    GREEK PSILI AND VARIA
?;     1f04    GREEK DASIA AND PERISPOMENI
?,     1f05    GREEK PSILI AND PERISPOMENI
!:     1f06    GREEK DIAERESIS AND VARIA
?:     1f07    GREEK DIAERESIS AND PERISPOMENI
1N     2002    EN SPACE
1M     2003    EM SPACE
3M     2004    THREE-PER-EM SPACE
4M     2005    FOUR-PER-EM SPACE
6M     2006    SIX-PER-EM SPACE
1T     2009    THIN SPACE
1H     200a    HAIR SPACE
-1     2010    HYPHEN
-N     2013    EN DASH
-M     2014    EM DASH
-3     2015    HORIZONTAL BAR
!2     2016    DOUBLE VERTICAL LINE
=2     2017    DOUBLE LOW LINE
'6     2018    LEFT SINGLE QUOTATION MARK
'9     2019    RIGHT SINGLE QUOTATION MARK
.9     201a    SINGLE LOW-9 QUOTATION MARK
9'     201b    SINGLE HIGH-REVERSED-9 QUOTATION MARK
"6     201c    LEFT DOUBLE QUOTATION MARK
"9     201d    RIGHT DOUBLE QUOTATION MARK
:9     201e    DOUBLE LOW-9 QUOTATION MARK
9"     201f    DOUBLE HIGH-REVERSED-9 QUOTATION MARK
/-     2020    DAGGER
/=     2021    DOUBLE DAGGER
..     2025    TWO DOT LEADER
%0     2030    PER MILLE SIGN
1'     2032    PRIME
2'     2033    DOUBLE PRIME
3'     2034    TRIPLE PRIME
1"     2035    REVERSED PRIME
2"     2036    REVERSED DOUBLE PRIME
3"     2037    REVERSED TRIPLE PRIME
Ca     2038    CARET
<1     2039    SINGLE LEFT-POINTING ANGLE QUOTATION MARK
>1     203a    SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
:X     203b    REFERENCE MARK
'-     203e    OVERLINE
?!     203d    INTERROBANG            >>> added by leiser!                      
/f     2044    FRACTION SLASH
0S     2070    SUPERSCRIPT DIGIT ZERO
4S     2074    SUPERSCRIPT DIGIT FOUR
5S     2075    SUPERSCRIPT DIGIT FIVE
6S     2076    SUPERSCRIPT DIGIT SIX
7S     2077    SUPERSCRIPT DIGIT SEVEN
8S     2078    SUPERSCRIPT DIGIT EIGHT
9S     2079    SUPERSCRIPT DIGIT NINE
+S     207a    SUPERSCRIPT PLUS SIGN
-S     207b    SUPERSCRIPT MINUS
=S     207c    SUPERSCRIPT EQUALS SIGN
(S     207d    SUPERSCRIPT LEFT PARENTHESIS
)S     207e    SUPERSCRIPT RIGHT PARENTHESIS
nS     207f    SUPERSCRIPT LATIN SMALL LETTER N
0s     2080    SUBSCRIPT DIGIT ZERO
1s     2081    SUBSCRIPT DIGIT ONE
2s     2082    SUBSCRIPT DIGIT TWO
3s     2083    SUBSCRIPT DIGIT THREE
4s     2084    SUBSCRIPT DIGIT FOUR
5s     2085    SUBSCRIPT DIGIT FIVE
6s     2086    SUBSCRIPT DIGIT SIX
7s     2087    SUBSCRIPT DIGIT SEVEN
8s     2088    SUBSCRIPT DIGIT EIGHT
9s     2089    SUBSCRIPT DIGIT NINE
+s     208a    SUBSCRIPT PLUS SIGN
-s     208b    SUBSCRIPT MINUS
=s     208c    SUBSCRIPT EQUALS SIGN
(s     208d    SUBSCRIPT LEFT PARENTHESIS
)s     208e    SUBSCRIPT RIGHT PARENTHESIS
Li     20a4    LIRA SIGN
Pt     20a7    PESETA SIGN
W=     20a9    WON SIGN
Eu     20ac    EURO SIGN                                 >>> added by leiser!
Dp     20af    DRACHMA SIGN                              >>> added by leiser!
oC     2103    DEGREE CENTIGRADE
co     2105    CARE OF
oF     2109    DEGREE FAHRENHEIT
N0     2116    NUMERO SIGN
PO     2117    SOUND RECORDING COPYRIGHT
Rx     211e    PRESCRIPTION TAKE
SM     2120    SERVICE MARK
TM     2122    TRADE MARK SIGN
Om     2126    OHM SIGN
AO     212b    ANGSTROEM SIGN
13     2153    VULGAR FRACTION ONE THIRD
23     2154    VULGAR FRACTION TWO THIRDS
15     2155    VULGAR FRACTION ONE FIFTH
25     2156    VULGAR FRACTION TWO FIFTHS
35     2157    VULGAR FRACTION THREE FIFTHS
45     2158    VULGAR FRACTION FOUR FIFTHS
16     2159    VULGAR FRACTION ONE SIXTH
56     215a    VULGAR FRACTION FIVE SIXTHS
18     215b    VULGAR FRACTION ONE EIGHTH
38     215c    VULGAR FRACTION THREE EIGHTHS
58     215d    VULGAR FRACTION FIVE EIGHTHS
78     215e    VULGAR FRACTION SEVEN EIGHTHS
1R     2160    ROMAN NUMERAL ONE
2R     2161    ROMAN NUMERAL TWO
3R     2162    ROMAN NUMERAL THREE
4R     2163    ROMAN NUMERAL FOUR
5R     2164    ROMAN NUMERAL FIVE
6R     2165    ROMAN NUMERAL SIX
7R     2166    ROMAN NUMERAL SEVEN
8R     2167    ROMAN NUMERAL EIGHT
9R     2168    ROMAN NUMERAL NINE
aR     2169    ROMAN NUMERAL TEN
bR     216a    ROMAN NUMERAL ELEVEN
cR     216b    ROMAN NUMERAL TWELVE
1r     2170    SMALL ROMAN NUMERAL ONE
2r     2171    SMALL ROMAN NUMERAL TWO
3r     2172    SMALL ROMAN NUMERAL THREE
4r     2173    SMALL ROMAN NUMERAL FOUR
5r     2174    SMALL ROMAN NUMERAL FIVE
6r     2175    SMALL ROMAN NUMERAL SIX
7r     2176    SMALL ROMAN NUMERAL SEVEN
8r     2177    SMALL ROMAN NUMERAL EIGHT
9r     2178    SMALL ROMAN NUMERAL NINE
ar     2179    SMALL ROMAN NUMERAL TEN
br     217a    SMALL ROMAN NUMERAL ELEVEN
cr     217b    SMALL ROMAN NUMERAL TWELVE
<-     2190    LEFTWARDS ARROW
-!     2191    UPWARDS ARROW
->     2192    RIGHTWARDS ARROW
-v     2193    DOWNWARDS ARROW
<>     2194    LEFT RIGHT ARROW
UD     2195    UP DOWN ARROW
<=     21d0    LEFTWARDS DOUBLE ARROW
=>     21d2    RIGHTWARDS DOUBLE ARROW
==     21d4    LEFT RIGHT DOUBLE ARROW
FA     2200    FOR ALL
dP     2202    PARTIAL DIFFERENTIAL
TE     2203    THERE EXISTS
/0     2205    EMPTY SET
DE     2206    INCREMENT
NB     2207    NABLA
(-     2208    ELEMENT OF
-)     220b    CONTAINS AS MEMBER
*P     220f    N-ARY PRODUCT
+Z     2211    N-ARY SUMMATION
-2     2212    MINUS SIGN
-+     2213    MINUS-OR-PLUS SIGN
*-     2217    ASTERISK OPERATOR
Ob     2218    RING OPERATOR
Sb     2219    BULLET OPERATOR
RT     221a    SQUARE ROOT
0(     221d    PROPORTIONAL TO
00     221e    INFINITY
-L     221f    RIGHT ANGLE
-V     2220    ANGLE
PP     2225    PARALLEL TO
AN     2227    LOGICAL AND
OR     2228    LOGICAL OR
(U     2229    INTERSECTION
)U     222a    UNION
In     222b    INTEGRAL
DI     222c    DOUBLE INTEGRAL
Io     222e    CONTOUR INTEGRAL
.:     2234    THEREFORE
:.     2235    BECAUSE
:R     2236    RATIO
::     2237    PROPORTION
?1     223c    TILDE OPERATOR
CG     223e    INVERTED LAZY S
?-     2243    ASYMPTOTICALLY EQUAL TO
?=     2245    APPROXIMATELY EQUAL TO
?2     2248    ALMOST EQUAL TO
=?     224c    ALL EQUAL TO
HI     2253    IMAGE OF OR APPROXIMATELY EQUAL TO
!=     2260    NOT EQUAL TO
=3     2261    IDENTICAL TO
=<     2264    LESS-THAN OR EQUAL TO
>=     2265    GREATER-THAN OR EQUAL TO
<*     226a    MUCH LESS-THAN
*>     226b    MUCH GREATER-THAN
!<     226e    NOT LESS-THAN
!>     226f    NOT GREATER-THAN
(C     2282    SUBSET OF
)C     2283    SUPERSET OF
(_     2286    SUBSET OF OR EQUAL TO
)_     2287    SUPERSET OF OR EQUAL TO
0.     2299    CIRCLED DOT OPERATOR
02     229a    CIRCLED RING OPERATOR
-T     22a5    UP TACK
.P     22c5    DOT OPERATOR
:3     22ee    VERTICAL ELLIPSIS
.3     22ef    MIDLINE HORIZONTAL ELLIPSIS
Eh     2302    HOUSE
<7     2308    LEFT CEILING
>7     2309    RIGHT CEILING
7<     230a    LEFT FLOOR
7>     230b    RIGHT FLOOR
NI     2310    REVERSED NOT SIGN
(A     2312    ARC
TR     2315    TELEPHONE RECORDER
Iu     2320    TOP HALF INTEGRAL
Il     2321    BOTTOM HALF INTEGRAL
</     2329    LEFT-POINTING ANGLE BRACKET
/>     232a    RIGHT-POINTING ANGLE BRACKET
Vs     2423    OPEN BOX
1h     2440    OCR HOOK
3h     2441    OCR CHAIR
2h     2442    OCR FORK
4h     2443    OCR INVERTED FORK
1j     2446    OCR BRANCH BANK IDENTIFICATION
2j     2447    OCR AMOUNT OF CHECK
3j     2448    OCR DASH
4j     2449    OCR CUSTOMER ACCOUNT NUMBER
1.     2488    DIGIT ONE FULL STOP
2.     2489    DIGIT TWO FULL STOP
3.     248a    DIGIT THREE FULL STOP
4.     248b    DIGIT FOUR FULL STOP
5.     248c    DIGIT FIVE FULL STOP
6.     248d    DIGIT SIX FULL STOP
7.     248e    DIGIT SEVEN FULL STOP
8.     248f    DIGIT EIGHT FULL STOP
9.     2490    DIGIT NINE FULL STOP
hh     2500    BOX DRAWINGS LIGHT HORIZONTAL
HH     2501    BOX DRAWINGS HEAVY HORIZONTAL
vv     2502    BOX DRAWINGS LIGHT VERTICAL
VV     2503    BOX DRAWINGS HEAVY VERTICAL
3-     2504    BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
3_     2505    BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
3!     2506    BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
3/     2507    BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
4-     2508    BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
4_     2509    BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
4!     250a    BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
4/     250b    BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
dr     250c    BOX DRAWINGS LIGHT DOWN AND RIGHT
dR     250d    BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
Dr     250e    BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
DR     250f    BOX DRAWINGS HEAVY DOWN AND RIGHT
dl     2510    BOX DRAWINGS LIGHT DOWN AND LEFT
dL     2511    BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
Dl     2512    BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
LD     2513    BOX DRAWINGS HEAVY DOWN AND LEFT
ur     2514    BOX DRAWINGS LIGHT UP AND RIGHT
uR     2515    BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
Ur     2516    BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
UR     2517    BOX DRAWINGS HEAVY UP AND RIGHT
ul     2518    BOX DRAWINGS LIGHT UP AND LEFT
uL     2519    BOX DRAWINGS UP LIGHT AND LEFT HEAVY
Ul     251a    BOX DRAWINGS UP HEAVY AND LEFT LIGHT
UL     251b    BOX DRAWINGS HEAVY UP AND LEFT
vr     251c    BOX DRAWINGS LIGHT VERTICAL AND RIGHT
vR     251d    BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
Vr     2520    BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
VR     2523    BOX DRAWINGS HEAVY VERTICAL AND RIGHT
vl     2524    BOX DRAWINGS LIGHT VERTICAL AND LEFT
vL     2525    BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
Vl     2528    BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
VL     252b    BOX DRAWINGS HEAVY VERTICAL AND LEFT
dh     252c    BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
dH     252f    BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
Dh     2530    BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
DH     2533    BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
uh     2534    BOX DRAWINGS LIGHT UP AND HORIZONTAL
uH     2537    BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
Uh     2538    BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
UH     253b    BOX DRAWINGS HEAVY UP AND HORIZONTAL
vh     253c    BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
vH     253f    BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
Vh     2542    BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
VH     254b    BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
FD     2571    BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
BD     2572    BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
TB     2580    UPPER HALF BLOCK
LB     2584    LOWER HALF BLOCK
FB     2588    FULL BLOCK
lB     258c    LEFT HALF BLOCK
RB     2590    RIGHT HALF BLOCK
.S     2591    LIGHT SHADE
:S     2592    MEDIUM SHADE
?S     2593    DARK SHADE
fS     25a0    BLACK SQUARE
OS     25a1    WHITE SQUARE
RO     25a2    WHITE SQUARE WITH ROUNDED CORNERS
Rr     25a3    WHITE SQUARE CONTAINING BLACK SMALL SQUARE
RF     25a4    SQUARE WITH HORIZONTAL FILL
RY     25a5    SQUARE WITH VERTICAL FILL
RH     25a6    SQUARE WITH ORTHOGONAL CROSSHATCH FILL
RZ     25a7    SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL
RK     25a8    SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL
RX     25a9    SQUARE WITH DIAGONAL CROSSHATCH FILL
sB     25aa    BLACK SMALL SQUARE
SR     25ac    BLACK RECTANGLE
Or     25ad    WHITE RECTANGLE
UT     25b2    BLACK UP-POINTING TRIANGLE
uT     25b3    WHITE UP-POINTING TRIANGLE
PR     25b6    BLACK RIGHT-POINTING TRIANGLE
Tr     25b7    WHITE RIGHT-POINTING TRIANGLE
Dt     25bc    BLACK DOWN-POINTING TRIANGLE
dT     25bd    WHITE DOWN-POINTING TRIANGLE
PL     25c0    BLACK LEFT-POINTING TRIANGLE
Tl     25c1    WHITE LEFT-POINTING TRIANGLE
Db     25c6    BLACK DIAMOND
Dw     25c7    WHITE DIAMOND
LZ     25ca    LOZENGE
0m     25cb    WHITE CIRCLE
0o     25ce    BULLSEYE
0M     25cf    BLACK CIRCLE
0L     25d0    CIRCLE WITH LEFT HALF BLACK
0R     25d1    CIRCLE WITH RIGHT HALF BLACK
Sn     25d8    INVERSE BULLET
Ic     25d9    INVERSE WHITE CIRCLE
Fd     25e2    BLACK LOWER RIGHT TRIANGLE
Bd     25e3    BLACK LOWER LEFT TRIANGLE
*2     2605    BLACK STAR
*1     2606    WHITE STAR
<H     261c    WHITE LEFT POINTING INDEX
>H     261e    WHITE RIGHT POINTING INDEX
0u     263a    WHITE SMILING FACE
0U     263b    BLACK SMILING FACE
SU     263c    WHITE SUN WITH RAYS
Fm     2640    FEMALE SIGN
Ml     2642    MALE SIGN
cS     2660    BLACK SPADE SUIT
cH     2661    WHITE HEART SUIT
cD     2662    WHITE DIAMOND SUIT
cC     2663    BLACK CLUB SUIT
Md     2669    QUARTER NOTE
M8     266a    EIGHTH NOTE
M2     266b    BARRED EIGHTH NOTES
Mb     266d    MUSIC FLAT SIGN
Mx     266e    MUSIC NATURAL SIGN
MX     266f    MUSIC SHARP SIGN
OK     2713    CHECK MARK
XX     2717    BALLOT X
-X     2720    MALTESE CROSS
IS     3000    IDEOGRAPHIC SPACE
,_     3001    IDEOGRAPHIC COMMA
._     3002    IDEOGRAPHIC PERIOD
+"     3003    DITTO MARK
+_     3004    IDEOGRAPHIC DITTO MARK
*_     3005    IDEOGRAPHIC ITERATION MARK
;_     3006    IDEOGRAPHIC CLOSING MARK
0_     3007    IDEOGRAPHIC NUMBER ZERO
<+     300a    LEFT DOUBLE ANGLE BRACKET
>+     300b    RIGHT DOUBLE ANGLE BRACKET
<'     300c    LEFT CORNER BRACKET
>'     300d    RIGHT CORNER BRACKET
<"     300e    LEFT WHITE CORNER BRACKET
>"     300f    RIGHT WHITE CORNER BRACKET
("     3010    LEFT BLACK LENTICULAR BRACKET
)"     3011    RIGHT BLACK LENTICULAR BRACKET
=T     3012    POSTAL MARK
=_     3013    GETA MARK
('     3014    LEFT TORTOISE SHELL BRACKET
)'     3015    RIGHT TORTOISE SHELL BRACKET
(I     3016    LEFT WHITE LENTICULAR BRACKET
)I     3017    RIGHT WHITE LENTICULAR BRACKET
-?     301c    WAVE DASH
A5     3041    HIRAGANA LETTER SMALL A
a5     3042    HIRAGANA LETTER A
I5     3043    HIRAGANA LETTER SMALL I
i5     3044    HIRAGANA LETTER I
U5     3045    HIRAGANA LETTER SMALL U
u5     3046    HIRAGANA LETTER U
E5     3047    HIRAGANA LETTER SMALL E
e5     3048    HIRAGANA LETTER E
O5     3049    HIRAGANA LETTER SMALL O
o5     304a    HIRAGANA LETTER O
ka     304b    HIRAGANA LETTER KA
ga     304c    HIRAGANA LETTER GA
ki     304d    HIRAGANA LETTER KI
gi     304e    HIRAGANA LETTER GI
ku     304f    HIRAGANA LETTER KU
gu     3050    HIRAGANA LETTER GU
ke     3051    HIRAGANA LETTER KE
ge     3052    HIRAGANA LETTER GE
ko     3053    HIRAGANA LETTER KO
go     3054    HIRAGANA LETTER GO
sa     3055    HIRAGANA LETTER SA
za     3056    HIRAGANA LETTER ZA
si     3057    HIRAGANA LETTER SI
zi     3058    HIRAGANA LETTER ZI
su     3059    HIRAGANA LETTER SU
zu     305a    HIRAGANA LETTER ZU
se     305b    HIRAGANA LETTER SE
ze     305c    HIRAGANA LETTER ZE
so     305d    HIRAGANA LETTER SO
zo     305e    HIRAGANA LETTER ZO
ta     305f    HIRAGANA LETTER TA
da     3060    HIRAGANA LETTER DA
ti     3061    HIRAGANA LETTER TI
di     3062    HIRAGANA LETTER DI
tU     3063    HIRAGANA LETTER SMALL TU
tu     3064    HIRAGANA LETTER TU
du     3065    HIRAGANA LETTER DU
te     3066    HIRAGANA LETTER TE
de     3067    HIRAGANA LETTER DE
to     3068    HIRAGANA LETTER TO
do     3069    HIRAGANA LETTER DO
na     306a    HIRAGANA LETTER NA
ni     306b    HIRAGANA LETTER NI
nu     306c    HIRAGANA LETTER NU
ne     306d    HIRAGANA LETTER NE
no     306e    HIRAGANA LETTER NO
ha     306f    HIRAGANA LETTER HA
ba     3070    HIRAGANA LETTER BA
pa     3071    HIRAGANA LETTER PA
hi     3072    HIRAGANA LETTER HI
bi     3073    HIRAGANA LETTER BI
pi     3074    HIRAGANA LETTER PI
hu     3075    HIRAGANA LETTER HU
bu     3076    HIRAGANA LETTER BU
pu     3077    HIRAGANA LETTER PU
he     3078    HIRAGANA LETTER HE
be     3079    HIRAGANA LETTER BE
pe     307a    HIRAGANA LETTER PE
ho     307b    HIRAGANA LETTER HO
bo     307c    HIRAGANA LETTER BO
po     307d    HIRAGANA LETTER PO
ma     307e    HIRAGANA LETTER MA
mi     307f    HIRAGANA LETTER MI
mu     3080    HIRAGANA LETTER MU
me     3081    HIRAGANA LETTER ME
mo     3082    HIRAGANA LETTER MO
yA     3083    HIRAGANA LETTER SMALL YA
ya     3084    HIRAGANA LETTER YA
yU     3085    HIRAGANA LETTER SMALL YU
yu     3086    HIRAGANA LETTER YU
yO     3087    HIRAGANA LETTER SMALL YO
yo     3088    HIRAGANA LETTER YO
ra     3089    HIRAGANA LETTER RA
ri     308a    HIRAGANA LETTER RI
ru     308b    HIRAGANA LETTER RU
re     308c    HIRAGANA LETTER RE
ro     308d    HIRAGANA LETTER RO
wA     308e    HIRAGANA LETTER SMALL WA
wa     308f    HIRAGANA LETTER WA
wi     3090    HIRAGANA LETTER WI
we     3091    HIRAGANA LETTER WE
wo     3092    HIRAGANA LETTER WO
n5     3093    HIRAGANA LETTER N
vu     3094    HIRAGANA LETTER VU
"5     309b    KATAKANA-HIRAGANA VOICED SOUND MARK
05     309c    KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
